namespace	ec_number
enz26735	3.5.1.74	ec_class
enz26736	3.5.1.75	ec_class
enz26737	3.5.1.8	ec_class
enz26739	3.5.1.85	ec_class
enz2674	3.4.22.25	ec_class
enz26740	3.5.1.9	ec_class
enz26741	3.5.2.1	ec_class
enz26742	3.5.2.16	ec_class
enz26743	3.5.2.2	ec_class
enz26744	3.5.2.4	ec_class
enz26745	3.5.2.6	ec_class
enz26746	3.5.2.9	ec_class
enz26747	3.5.3.12	ec_class
enz26748	3.5.3.13	ec_class
enz26749	3.5.3.14	ec_class
enz2675	3.4.22.26	ec_class
enz26750	3.5.3.15	ec_class
enz26751	3.5.3.16	ec_class
enz26752	3.5.3.2	ec_class
enz26753	3.5.3.20	ec_class
enz26754	3.5.3.5	ec_class
enz26755	3.5.3.6	ec_class
enz26756	3.5.3.7	ec_class
enz26757	3.5.4.1	ec_class
enz26758	3.5.4.11	ec_class
enz26759	3.5.4.13	ec_class
enz26761	3.5.4.15	ec_class
enz26762	3.5.4.16	ec_class
enz26763	3.5.4.23	ec_class
enz26764	3.5.4.24	ec_class
enz26765	3.5.4.3	ec_class
enz26766	3.5.4.4	ec_class
enz26767	3.5.4.5	ec_class
enz26768	3.5.4.6	ec_class
enz26769	3.5.4.7	ec_class
enz26770	3.5.4.8	ec_class
enz26771	3.5.4.9	ec_class
enz26772	3.5.5.1	ec_class
enz26773	3.5.5.8	ec_class
enz26774	3.6.1.1	ec_class
enz26775	3.6.1.10	ec_class
enz26776	3.6.1.11	ec_class
enz26777	3.6.1.12	ec_class
enz26778	3.6.1.13	ec_class
enz26779	3.6.1.14	ec_class
enz26780	3.6.1.15	ec_class
enz26781	3.6.1.16	ec_class
enz26782	3.6.1.17	ec_class
enz26783	3.6.1.18	ec_class
enz26785	3.6.1.2	ec_class
enz26786	3.6.1.20	ec_class
enz26787	3.6.1.21	ec_class
enz26788	3.6.1.22	ec_class
enz26789	3.6.1.23	ec_class
enz26790	3.6.1.24	ec_class
enz26791	3.6.1.25	ec_class
enz26792	3.6.1.26	ec_class
enz26793	3.6.1.28	ec_class
enz26796	3.6.1.31	ec_class
enz26797	3.6.1.39	ec_class
enz26798	3.6.1.42	ec_class
enz2680	3.4.22.30	ec_class
enz26802	3.6.1.5	ec_class
enz26805	3.6.1.6	ec_class
enz26806	3.6.1.8	ec_class
enz26807	7.1.2.2	ec_class
enz26808	7.2.2.1	ec_class
enz26809	7.3.2.7	ec_class
enz2681	3.4.22.31	ec_class
enz26810	7.2.2.11	ec_class
enz26811	7.3.2.4	ec_class
enz26812	7.3.2.5	ec_class
enz26813	7.2.2.7	ec_class
enz26814	7.6.2.11	ec_class
enz26815	7.6.2.9	ec_class
enz26816	7.6.2.8	ec_class
enz26817	7.2.2.16	ec_class
enz26818	7.2.2.5	ec_class
enz26819	7.6.2.7	ec_class
enz2682	3.4.22.32	ec_class
enz26820	7.6.2.6	ec_class
enz26821	7.6.2.12	ec_class
enz26822	7.5.2.5	ec_class
enz26823	7.5.2.3	ec_class
enz26824	7.4.2.5	ec_class
enz26825	7.6.2.2	ec_class
enz26826	7.6.2.4	ec_class
enz26827	7.4.2.7	ec_class
enz26828	5.6.1.6	ec_class
enz26829	7.4.2.3	ec_class
enz2683	3.4.22.33	ec_class
enz26830	7.4.2.4	ec_class
enz26831	7.2.2.15	ec_class
enz26832	7.2.2.3	ec_class
enz26833	7.2.2.10	ec_class
enz26834	3.6.4.10	ec_class
enz26836	5.6.1.1	ec_class
enz26837	5.6.1.3	ec_class
enz26838	5.6.1.4	ec_class
enz26839	3.6.4.6	ec_class
enz2684	3.4.22.34	ec_class
enz26840	3.6.4.7	ec_class
enz26841	5.6.1.5	ec_class
enz26842	3.6.1.27	ec_class
enz26843	3.7.1.1	ec_class
enz26844	3.7.1.7	ec_class
enz26846	3.8.1.3	ec_class
enz26848	4.1.99.11	ec_class
enz2685	3.4.22.35	ec_class
enz26852	4.2.1.104	ec_class
enz26856	4.2.1.24	ec_class
enz26858	4.2.2.1	ec_class
enz26859	4.2.2.14	ec_class
enz26861	4.2.3.15	ec_class
enz26862	4.2.3.16	ec_class
enz26865	4.3.1.17	ec_class
enz26866	4.3.1.18	ec_class
enz26867	4.3.1.19	ec_class
enz26868	4.3.1.20	ec_class
enz2687	3.4.22.37	ec_class
enz26871	5.4.2.10	ec_class
enz26872	6.1.1.13	ec_class
enz2688	3.4.22.38	ec_class
enz270	1.1.3.2	ec_class
enz2703	3.4.23.17	ec_class
enz2704	3.4.23.18	ec_class
enz2705	3.4.23.19	ec_class
enz2707	3.4.23.20	ec_class
enz2708	3.4.23.21	ec_class
enz2709	3.4.23.22	ec_class
enz2710	3.4.23.23	ec_class
enz2711	3.4.23.24	ec_class
enz2712	3.4.23.25	ec_class
enz2713	3.4.23.26	ec_class
enz2715	3.4.23.28	ec_class
enz2716	3.4.23.29	ec_class
enz2718	3.4.23.30	ec_class
enz2719	3.4.23.31	ec_class
enz2720	3.4.23.32	ec_class
enz2722	3.4.23.34	ec_class
enz2723	3.4.23.35	ec_class
enz2724	3.4.23.36	ec_class
enz2729	3.4.23.40	ec_class
enz2743	3.4.24.17	ec_class
enz2744	3.4.24.18	ec_class
enz2745	3.4.24.19	ec_class
enz2747	3.4.24.20	ec_class
enz2748	3.4.24.21	ec_class
enz2749	3.4.24.22	ec_class
enz2750	3.4.24.23	ec_class
enz2751	3.4.24.24	ec_class
enz2752	3.4.24.25	ec_class
enz2753	3.4.24.26	ec_class
enz2754	3.4.24.27	ec_class
enz2755	3.4.24.28	ec_class
enz2756	3.4.24.29	ec_class
enz2758	3.4.24.30	ec_class
enz2759	3.4.24.31	ec_class
enz2760	3.4.24.32	ec_class
enz2761	3.4.24.33	ec_class
enz2762	3.4.24.34	ec_class
enz2763	3.4.24.35	ec_class
enz2764	3.4.24.36	ec_class
enz2765	3.4.24.37	ec_class
enz2766	3.4.24.38	ec_class
enz2767	3.4.24.39	ec_class
enz2769	3.4.24.40	ec_class
enz2770	3.4.24.41	ec_class
enz2771	3.4.24.42	ec_class
enz2772	3.4.24.43	ec_class
enz2773	3.4.24.44	ec_class
enz2774	3.4.24.45	ec_class
enz2775	3.4.24.46	ec_class
enz2776	3.4.24.47	ec_class
enz2777	3.4.24.48	ec_class
enz2778	3.4.24.49	ec_class
enz2780	3.4.24.50	ec_class
enz2781	3.4.24.51	ec_class
enz2782	3.4.24.52	ec_class
enz2783	3.4.24.53	ec_class
enz2784	3.4.24.54	ec_class
enz2785	3.4.24.55	ec_class
enz2786	3.4.24.56	ec_class
enz2787	3.4.24.57	ec_class
enz2788	3.4.24.58	ec_class
enz2789	3.4.24.59	ec_class
enz2791	3.4.24.60	ec_class
enz2792	3.4.24.61	ec_class
enz2793	3.4.24.62	ec_class
enz2794	3.4.24.63	ec_class
enz2795	3.4.24.64	ec_class
enz2796	3.4.24.65	ec_class
enz2797	3.4.24.66	ec_class
enz2798	3.4.24.67	ec_class
enz2799	3.4.24.68	ec_class
enz2800	3.4.24.69	ec_class
enz2802	3.4.24.70	ec_class
enz2803	3.4.24.71	ec_class
enz2804	3.4.24.72	ec_class
enz2805	3.4.24.73	ec_class
enz2806	3.4.24.74	ec_class
enz2807	3.4.24.75	ec_class
enz289	1.1.3.37	ec_class
enz290	1.1.3.38	ec_class
enz2929	3.5.1.76	ec_class
enz2930	3.5.1.77	ec_class
enz2931	3.5.1.78	ec_class
enz2932	3.5.1.79	ec_class
enz2935	3.5.1.81	ec_class
enz2936	3.5.1.82	ec_class
enz2937	3.5.1.83	ec_class
enz2961	3.5.3.17	ec_class
enz2966	3.5.3.21	ec_class
enz3006	3.5.5.5	ec_class
enz3008	3.5.5.7	ec_class
enz30446	1.1.1.258	ec_class
enz30447	1.1.1.264	ec_class
enz30448	1.1.1.265	ec_class
enz30449	1.1.1.266	ec_class
enz30454	1.1.1.3	ec_class
enz30455	1.1.1.4	ec_class
enz30456	1.1.1.9	ec_class
enz30462	1.3.1.56	ec_class
enz30463	1.3.1.58	ec_class
enz30497	3.11.1.1	ec_class
enz30498	3.1.1.76	ec_class
enz30499	3.1.1.77	ec_class
enz3050	3.6.1.45	ec_class
enz30500	4.4.1.42	ec_class
enz30501	3.5.1.18	ec_class
enz30502	3.5.1.19	ec_class
enz30503	3.5.1.25	ec_class
enz30504	3.5.1.33	ec_class
enz30505	3.5.2.11	ec_class
enz30506	3.5.2.12	ec_class
enz30507	3.5.2.14	ec_class
enz30508	3.5.2.15	ec_class
enz30509	3.5.2.3	ec_class
enz30510	3.5.2.5	ec_class
enz30511	3.5.3.11	ec_class
enz30512	3.5.3.8	ec_class
enz30513	3.5.3.9	ec_class
enz30514	3.5.4.17	ec_class
enz30515	3.5.4.18	ec_class
enz30516	3.5.4.19	ec_class
enz30517	3.5.4.20	ec_class
enz30518	3.5.4.22	ec_class
enz30519	3.5.4.25	ec_class
enz30520	3.5.4.26	ec_class
enz30521	3.5.4.27	ec_class
enz30522	3.5.5.2	ec_class
enz30523	3.5.99.1	ec_class
enz30524	3.5.99.2	ec_class
enz30525	3.6.1.41	ec_class
enz30526	3.6.1.7	ec_class
enz30527	3.6.1.9	ec_class
enz30528	7.6.2.1	ec_class
enz30529	7.2.2.19	ec_class
enz30530	7.5.2.1	ec_class
enz30531	7.4.2.1	ec_class
enz30532	7.4.2.6	ec_class
enz30533	7.2.2.21	ec_class
enz30534	7.2.2.9	ec_class
enz30535	7.2.2.12	ec_class
enz30536	7.1.2.1	ec_class
enz30537	7.2.2.13	ec_class
enz30538	5.6.1.8	ec_class
enz30539	5.6.1.2	ec_class
enz30540	3.7.1.10	ec_class
enz30541	3.7.1.8	ec_class
enz30542	3.7.1.9	ec_class
enz30545	3.8.1.5	ec_class
enz30546	3.8.1.8	ec_class
enz30547	3.9.1.1	ec_class
enz30552	4.3.3.3	ec_class
enz30553	4.3.3.4	ec_class
enz30555	4.6.1.12	ec_class
enz3074	3.8.1.7	ec_class
enz3079	4.1.1.11	ec_class
enz3080	4.1.1.12	ec_class
enz3082	4.1.1.14	ec_class
enz3083	4.1.1.15	ec_class
enz3084	4.1.1.16	ec_class
enz3085	4.1.1.17	ec_class
enz3087	4.1.1.19	ec_class
enz3088	4.1.1.2	ec_class
enz3089	4.1.1.20	ec_class
enz3090	4.1.1.21	ec_class
enz3091	4.1.1.22	ec_class
enz3092	4.1.1.23	ec_class
enz3093	4.1.1.24	ec_class
enz3094	4.1.1.25	ec_class
enz3097	4.1.1.28	ec_class
