namespace	strain_number
str10205	BCRC 10401	culture_number
str10205	CCRC 10401	culture_number
str10205	CCT 0546	culture_number
str10205	CCUG 18448	culture_number
str10205	CCUG 28448	culture_number
str10205	CCUG 29301	culture_number
str10205	CCUG 6323	culture_number
str10205	CDBB 963	culture_number
str10205	CECT 194	culture_number
str10205	CIP 60.85	culture_number
str10205	CNCTC 5734	culture_number
str10205	DSM 30054	culture_number
str10205	HAMBI 1295	culture_number
str10205	HAMBI 96	culture_number
str10205	HUT 8108	culture_number
str10205	IAM 12349	culture_number
str10205	ICMP 15661	culture_number
str10205	ICMP 7613	culture_number
str10205	IFO 13535	culture_number
str10205	JCM 1232	culture_number
str10205	KCTC 2361	culture_number
str10205	LMG 2783	culture_number
str10205	NBRC 13535	culture_number
str10205	NCAIM B.02073	culture_number
str10205	NCIB 10101	culture_number
str10205	NCIMB 10101	culture_number
str10205	NCTC 10005	culture_number
str10205	VTT E-84198	culture_number
str10207	ATCC 27774	culture_number
str10207	DSM 6949	culture_number
str10207	NCIMB 12833	culture_number
str10208	DSM 23138	culture_number
str10212	ATCC 15592	culture_number
str10212	BCRC 11660	culture_number
str10212	CCRC 11660	culture_number
str10212	DSM 311	culture_number
str10213	ATCC 51743	culture_number
str10213	ATCC 824	culture_number
str10213	BCRC 10639	culture_number
str10213	CCRC 10639	culture_number
str10213	CCT 0485	culture_number
str10213	CCUG 42182	culture_number
str10213	CDBB 797	culture_number
str10213	CECT 508	culture_number
str10213	CGMCC 1.0070	culture_number
str10213	CGMCC 1.0244	culture_number
str10213	DSM 792	culture_number
str10213	IAM 19013	culture_number
str10213	IFO 13948	culture_number
str10213	IFO 3346	culture_number
str10213	JCM 1419	culture_number
str10213	KCTC 1788	culture_number
str10213	KCTC 1790	culture_number
str10213	LMD 29.24	culture_number
str10213	LMD 84.48	culture_number
str10213	LMG 5710	culture_number
str10213	NBRC 13948	culture_number
str10213	NCCB 29024	culture_number
str10213	NCCB 84048	culture_number
str10213	NCIB 8052	culture_number
str10213	NCIM 2337	culture_number
str10213	NCIMB 13357	culture_number
str10213	NCIMB 8052	culture_number
str10213	NRRL B-23491	culture_number
str10213	NRRL B-527	culture_number
str10213	VKM B-1787	culture_number
str10213	VKM B-1789	culture_number
str10213	VTT E-00022	culture_number
str10213	VTT E-77022	culture_number
str10222	DSM 4674	culture_number
str10225	DSM 7267	culture_number
str10225	JCM 12296	culture_number
str10225	VKM B-1975	culture_number
str10227	NIES 1332	culture_number
str1023	ATCC 46645	culture_number
str10235	RCC 407	culture_number
str10238	ATCC 35583	culture_number
str10238	DSM 2078	culture_number
str10238	JCM 9277	culture_number
str10238	NBRC 100435	culture_number
str10239	CECT 20842	culture_number
str1024	CBS 7323	culture_number
str1024	IAM 13497	culture_number
str1024	IFO 10737	culture_number
str1024	JCM 22168	culture_number
str1024	NBRC 10737	culture_number
str10243	CCAP 379/11	culture_number
str10245	AS 4.1226	culture_number
str10245	AS 4.1247	culture_number
str10245	ATCC 33774	culture_number
str10245	BCRC 13404	culture_number
str10245	CCRC 13404	culture_number
str10245	CGMCC 4.1226	culture_number
str10245	CGMCC 4.1247	culture_number
str10245	DSM 43861	culture_number
str10245	HUT 6571	culture_number
str10245	IFO 14216	culture_number
str10245	JCM 3304	culture_number
str10245	KACC 20032	culture_number
str10245	KCTC 9182	culture_number
str10245	KCTC 9793	culture_number
str10245	NBRC 14216	culture_number
str10245	NCIMB 13310	culture_number
str10245	NRRL B-16185	culture_number
str10245	VKM AC-900	culture_number
str10247	DSM 12399	culture_number
str10247	JCM 9785	culture_number
str10248	DSM 6724	culture_number
str10250	DSM 105292	culture_number
str10251	CIP 105536	culture_number
str10253	ATCC 35704	culture_number
str10253	BCRC 14551	culture_number
str10253	CCRC 14551	culture_number
str10253	CCUG 45363	culture_number
str10253	CIP 106687	culture_number
str10253	DSM 5676	culture_number
str10253	JCM 6567	culture_number
str10254	ATCC 35319	culture_number
str10254	BCRC 14440	culture_number
str10254	BCRC 17661	culture_number
str10254	CCRC 14440	culture_number
str10254	CCRC 17661	culture_number
str10254	DSM 5812	culture_number
str10254	JCM 6584	culture_number
str10256	ATCC BAA-613	culture_number
str10256	CCUG 46953	culture_number
str10256	CIP 109439	culture_number
str10256	DSM 15670	culture_number
str10256	JCM 12243	culture_number
str10256	VTT E-052776	culture_number
str10261	ATCC 8483	culture_number
str10261	BCRC 10623	culture_number
str10261	CCRC 10623	culture_number
str10261	CCUG 4943	culture_number
str10261	CIP 103756	culture_number
str10261	DSM 1896	culture_number
str10261	JCM 5824	culture_number
str10261	KCTC 5011	culture_number
str10261	LMG 28902	culture_number
str10261	NCTC 11153	culture_number
str10261	VTT E-062944	culture_number
str10262	NBRC 102967	culture_number
str10263	ATCC 33970	culture_number
str10263	CFBP 1903	culture_number
str10263	CFBP 6552	culture_number
str10263	CGMCC 1.1488	culture_number
str10263	CIP 104333	culture_number
str10263	LMD 85.29	culture_number
str10263	LMG 287	culture_number
str10263	NCCB 85029	culture_number
str10266	ATCC 33170	culture_number
str10266	CGMCC 1.1962	culture_number
str10266	CGMCC 1.2060	culture_number
str10266	CGMCC 1.2367	culture_number
str10266	DSM 669	culture_number
str10266	IFO 14715	culture_number
str10266	JCM 8981	culture_number
str10266	LMD 81.95	culture_number
str10266	NBRC 14715	culture_number
str10266	NCCB 81095	culture_number
str10266	NCIMB 2259	culture_number
str10266	VKM B-1808	culture_number
str10266	VKM B-997	culture_number
str1027	IMI 255091	culture_number
str10275	ATCC 43742	culture_number
str10275	BCRC 14687	culture_number
str10275	CCM 3731	culture_number
str10275	CCRC 14687	culture_number
str10275	CCUG 28887	culture_number
str10275	CECT 4038	culture_number
str10275	CECT 7250	culture_number
str10275	CIP 106930	culture_number
str10275	DSM 2542	culture_number
str10275	KCTC 1828	culture_number
str10275	KCTC 3400	culture_number
str10275	LMG 17914	culture_number
str10275	LMG 7137	culture_number
str10275	NCIB 11955	culture_number
str10275	NCIMB 11955	culture_number
str10275	NRRL B-14233	culture_number
str10275	NRRL B-14516	culture_number
str10276	NBRC 101028	culture_number
str10279	ATCC 29148	culture_number
str10279	CCUG 10774	culture_number
str10279	CIP 104206	culture_number
str10279	DSM 2079	culture_number
str10279	JCM 5827	culture_number
str10279	LMG 28903	culture_number
str10279	NCTC 10582	culture_number
str10279	VTT E-001738	culture_number
str10285	CGMCC 1.6417	culture_number
str10285	CIP 110406	culture_number
str10285	DSM 19645	culture_number
str10289	DSM 14539	culture_number
str10290	ATCC 12662	culture_number
str10290	BCRC 14485	culture_number
str10290	CCRC 14485	culture_number
str10290	CCUG 9281	culture_number
str10290	DSM 519	culture_number
str10290	JCM 1433	culture_number
str10290	NCIB 10654	culture_number
str10290	NCIMB 10654	culture_number
str10291	ATCC 9614	culture_number
str10291	CCUG 36819	culture_number
str10291	CECT 875	culture_number
