namespace	strain_number
str7057	CCM 3689	culture_number
str7057	CCRC 12830	culture_number
str7057	CCUG 13622	culture_number
str7057	CCUG 15268	culture_number
str7057	CCUG 20252	culture_number
str7057	CECT 4217	culture_number
str7057	CGMCC 1.1608	culture_number
str7057	CIP 103355	culture_number
str7057	DSM 19283	culture_number
str7057	IAM 14403	culture_number
str7057	IMET 11293	culture_number
str7057	JCM 3752	culture_number
str7057	KCTC 2473	culture_number
str7057	LMD 81.34	culture_number
str7057	LMG 7894	culture_number
str7057	NBRC 103150	culture_number
str7057	NCCB 81034	culture_number
str7057	NCIMB 2249	culture_number
str7057	NCTC 11327	culture_number
str7061	ATCC 33843	culture_number
str7061	CCUG 16227	culture_number
str7061	LMD 79.42	culture_number
str7061	LMG 11226	culture_number
str7061	LMG 11661	culture_number
str7061	NCCB 79042	culture_number
str7061	NCIMB 1871	culture_number
str7065	ATCC 18434	culture_number
str7065	CBS 693.77	culture_number
str7069	ATCC 15338	culture_number
str7069	BCRC 12919	culture_number
str7069	BCRC 14919	culture_number
str7069	CCRC 12919	culture_number
str7069	CCRC 14919	culture_number
str7069	CCUG 20302	culture_number
str7069	CECT 630	culture_number
str7069	CIP 102892	culture_number
str7069	CIP 710	culture_number
str7069	CIP 73.06	culture_number
str7069	CIP 73.6	culture_number
str7069	DSM 30189	culture_number
str7069	IAM 14410	culture_number
str7069	IFO 13287	culture_number
str7069	JCM 21193	culture_number
str7069	KCTC 2730	culture_number
str7069	LMG 3772	culture_number
str7069	NBRC 13287	culture_number
str7069	NCIMB 1326	culture_number
str7069	NCMB 1326	culture_number
str7074	ATCC 42587	culture_number
str7074	IFO 7276	culture_number
str7074	NBRC 7276	culture_number
str7075	NBRC 101977	culture_number
str7081	VTT C-01419	culture_number
str7084	CIP 106458	culture_number
str7084	DSM 16033	culture_number
str7084	JCM 10085	culture_number
str7085	CIP 108121	culture_number
str7085	JCM 11436	culture_number
str7085	LMG 21258	culture_number
str7088	CIP 109783	culture_number
str709	ATCC 27009	culture_number
str709	BCRC 14685	culture_number
str709	CCRC 14685	culture_number
str709	CCT 2490	culture_number
str709	CCUG 28521	culture_number
str709	CECT 4328	culture_number
str709	CIP 106131	culture_number
str709	DSM 446	culture_number
str709	HAMBI 2071	culture_number
str709	HAMBI 2073	culture_number
str709	IFO 15652	culture_number
str709	IMET 11356	culture_number
str709	JCM 5260	culture_number
str709	KCTC 1825	culture_number
str709	LMD 89.167	culture_number
str709	LMG 7119	culture_number
str709	NBRC 15652	culture_number
str709	NCCB 89167	culture_number
str709	NCIB 11725	culture_number
str709	NCIMB 11725	culture_number
str709	NRRL B-14509	culture_number
str7091	CECT 5170	culture_number
str7096	ATCC 12706	culture_number
str7096	BCRC 11650	culture_number
str7096	CCM 56	culture_number
str7096	CCRC 11650	culture_number
str7096	CCUG 21533	culture_number
str7096	CCUG 30502	culture_number
str7096	CDBB 1085	culture_number
str7096	CECT 283	culture_number
str7096	CIP 102810	culture_number
str7096	CNCTC 13	culture_number
str7096	CNCTC 6448	culture_number
str7096	DSM 20410	culture_number
str7096	IAM 13546	culture_number
str7096	JCM 1174	culture_number
str7096	KCTC 3504	culture_number
str7096	LMD 71.15	culture_number
str7096	LMG 3507	culture_number
str7096	NCCB 71015	culture_number
str7096	NCDO 1655	culture_number
str7096	NCFB 1655	culture_number
str7096	NCIB 8965	culture_number
str7096	NCIM 2167	culture_number
str7096	NCIMB 8965	culture_number
str7096	NRRL B-1951	culture_number
str7096	VKM B-1528	culture_number
str7096	VTT E-98966	culture_number
str7097	CGMCC 1.6105	culture_number
str7097	CIP 109725	culture_number
str7097	DSM 24838	culture_number
str7097	JCM 14017	culture_number
str7102	ATCC 43050	culture_number
str7102	CCM 4398	culture_number
str7102	DSM 3874	culture_number
str7102	NCAIM B.01957	culture_number
str7102	NRRL B-14837	culture_number
str7106	DSM 10330	culture_number
str7107	FGSC 9214	culture_number
str7114	ATCC 33913	culture_number
str7114	BCRC 12846	culture_number
str7114	CBMAI 199	culture_number
str7114	CCRC 12846	culture_number
str7114	CCUG 47691	culture_number
str7114	CECT 97	culture_number
str7114	CFBP 2350	culture_number
str7114	CFBP 5241	culture_number
str7114	CFBP 5251	culture_number
str7114	CIP 100069	culture_number
str7114	DSM 3586	culture_number
str7114	ICMP 13	culture_number
str7114	ICMP 5716	culture_number
str7114	JCM 13371	culture_number
str7114	KACC 10913	culture_number
str7114	LMG 568	culture_number
str7114	NCPPB 528	culture_number
str7114	PDDCC 13	culture_number
str7120	ATCC BAA-1189	culture_number
str7120	DSM 17298	culture_number
str7120	NBRC 101277	culture_number
str7121	ATCC 24202	culture_number
str7121	ATCC 96587	culture_number
str7121	ATCC MYA-131	culture_number
str7121	BCRC 21346	culture_number
str7121	CBS 5905	culture_number
str7121	CCRC 21346	culture_number
str7121	CDBB 685	culture_number
str7121	CECT 1690	culture_number
str7121	DBVPG 7009	culture_number
str7121	DSM 5626	culture_number
str7121	FRR 4236	culture_number
str7121	IFO 10129	culture_number
str7121	IHEM 5758	culture_number
str7121	JCM 9042	culture_number
str7121	JCM 9680	culture_number
str7121	KCTC 7704	culture_number
str7121	MUCL 31142	culture_number
str7121	NBIMCC 2395	culture_number
str7121	NBRC 10129	culture_number
str7121	NCYC 874	culture_number
str7121	NRRL Y-10921	culture_number
str7121	VKM Y-2274	culture_number
str7122	ATCC BAA-794	culture_number
str7122	CCUG 47268	culture_number
str7122	DSM 13620	culture_number
str7122	NCIMB 13707	culture_number
str7125	CCUG 16464	culture_number
str7125	LMG 6223	culture_number
str7127	ATCC 20460	culture_number
str7127	CBS 7504	culture_number
str7127	CLIB 89	culture_number
str7127	VTT C-10879	culture_number
str713	ATCC 27009	culture_number
str713	BCRC 14685	culture_number
str713	CCRC 14685	culture_number
str713	CCT 2490	culture_number
str713	CCUG 28521	culture_number
str713	CECT 4328	culture_number
str713	CIP 106131	culture_number
str713	DSM 446	culture_number
str713	HAMBI 2071	culture_number
str713	HAMBI 2073	culture_number
str713	IFO 15652	culture_number
str713	IMET 11356	culture_number
str713	JCM 5260	culture_number
str713	KCTC 1825	culture_number
str713	LMD 89.167	culture_number
str713	LMG 7119	culture_number
str713	NBRC 15652	culture_number
str713	NCCB 89167	culture_number
str713	NCIB 11725	culture_number
str713	NCIMB 11725	culture_number
str713	NRRL B-14509	culture_number
str7135	NIES 2187	culture_number
str7135	UTEX 896	culture_number
str7136	CECT 7230	culture_number
str715	FGSC 6888	culture_number
str7151	CCUG 47099	culture_number
str7151	CIP 106680	culture_number
str7151	DSM 12802	culture_number
str7151	KCTC 12921	culture_number
str7151	NCIMB 13871	culture_number
str7152	CCUG 47099	culture_number
str7152	CIP 106680	culture_number
str7152	DSM 12802	culture_number
str7152	KCTC 12921	culture_number
str7152	NCIMB 13871	culture_number
str7153	ATCC 19623	culture_number
str7153	BCRC 11043	culture_number
str7153	CCM 2456	culture_number
str7153	CCRC 11043	culture_number
str7153	CCUG 35204	culture_number
str7153	DSM 287	culture_number
str7153	IAM 12669	culture_number
str7153	JCM 20728	culture_number
str7153	KCTC 12503	culture_number
str7153	KCTC 2531	culture_number
str7153	LMG 4433	culture_number
str7153	NBRC 102405	culture_number
str7153	NCAIM B.01953	culture_number
str7153	NCIB 10340	culture_number
str7153	NCIMB 10340	culture_number
str7153	NCTC 10482	culture_number
str7153	NRRL B-3303	culture_number
str7154	ATCC 19623	culture_number
str7154	BCRC 11043	culture_number
str7154	CCM 2456	culture_number
str7154	CCRC 11043	culture_number
str7154	CCUG 35204	culture_number
str7154	DSM 287	culture_number
str7154	IAM 12669	culture_number
str7154	JCM 20728	culture_number
str7154	KCTC 12503	culture_number
str7154	KCTC 2531	culture_number
str7154	LMG 4433	culture_number
str7154	NBRC 102405	culture_number
str7154	NCAIM B.01953	culture_number
str7154	NCIB 10340	culture_number
str7154	NCIMB 10340	culture_number
str7154	NCTC 10482	culture_number
str7154	NRRL B-3303	culture_number
str7157	ATCC 52405	culture_number
str7157	BCRC 21505	culture_number
str7157	CBS 702	culture_number
str7157	CCRC 21505	culture_number
str7157	CCT 2633	culture_number
str7157	CECT 11055	culture_number
str7157	DBVPG 6382	culture_number
str7157	DBVPG 6832	culture_number
str7157	DSM 70415	culture_number
str7157	FRR 2018	culture_number
str7157	IFO 1131	culture_number
str7157	IFO 1614	culture_number
str7157	IHEM 9070	culture_number
str7157	KCTC 7676	culture_number
str7157	MUCL 27814	culture_number
str7157	NBRC 1131	culture_number
str7157	NBRC 1614	culture_number
str7157	NCYC 1495	culture_number
str7157	NRRL Y-12626	culture_number
str7157	NRRL Y-7558	culture_number
str7157	NRRL Y-7683	culture_number
str7157	VTT C-94195	culture_number
str7158	ATCC 31821	culture_number
str7158	CCM 3881	culture_number
str7158	KCTC 1534	culture_number
str7158	LMG 460	culture_number
str7158	NRRL B-14023	culture_number
str7158	NRRL B-14234	culture_number
str7158	VTT E-82162	culture_number
str716	FGSC 6888	culture_number
str7160	ATCC 31821	culture_number
str7160	CCM 3881	culture_number
str7160	KCTC 1534	culture_number
str7160	LMG 460	culture_number
str7160	NRRL B-14023	culture_number
str7160	NRRL B-14234	culture_number
str7160	VTT E-82162	culture_number
str7163	ATCC 9433	culture_number
str7163	BCRC 10387	culture_number
str7163	CCM 1774	culture_number
str7163	CCRC 10387	culture_number
str7163	DSM 46618	culture_number
str7163	IAM 1823	culture_number
str7163	IFO 3189	culture_number
str7163	IMET 10600	culture_number
str7163	JCM 20284	culture_number
str7163	LMG 1609	culture_number
str7163	LMG 1779	culture_number
str7163	NBRC 3189	culture_number
str7163	NCIB 8089	culture_number
str7163	NCIMB 8089	culture_number
str7163	NRRL B-147	culture_number
str7165	ATCC 25311	culture_number
str7165	BCRC 11033	culture_number
str7165	CCRC 11033	culture_number
str7165	DSM 2408	culture_number
str7165	IAM 1667	culture_number
str7165	IFO 3084	culture_number
str7165	JCM 20244	culture_number
str7165	KCTC 2574	culture_number
str7165	LMG 13143	culture_number
str7165	NBRC 3084	culture_number
str7165	NCIMB 10917	culture_number
str717	FGSC 6888	culture_number
str7173	ATCC 14987	culture_number
str7173	ATCC 21662	culture_number
str7173	ATCC 23236	culture_number
str7173	BCRC 11562	culture_number
str7173	CCRC 11562	culture_number
str7173	CCUG 3352	culture_number
str7173	CIP 66.33	culture_number
str7173	CIP 68.32	culture_number
str7173	DSM 1139	culture_number
str7173	IFO 12552	culture_number
str7173	LMD 82.32	culture_number
str7173	LMG 1056	culture_number
str7173	NBRC 12552	culture_number
str7173	NCCB 82032	culture_number
str7173	NCIB 9205	culture_number
str7173	NCIM 2890	culture_number
str7173	NCIMB 9205	culture_number
str7176	ATCC 13333	culture_number
str7176	BCRC 14924	culture_number
str7176	CCM 1037	culture_number
str7176	CCRC 14924	culture_number
str7176	CECT 4525	culture_number
str7176	CFBP 1001	culture_number
str7176	CIP 104330	culture_number
str7176	DSM 60245	culture_number
str7176	IAM 13938	culture_number
str7176	IFO 13259	culture_number
str7176	IMI 347313	culture_number
str7176	JCM 20990	culture_number
str7176	KACC 11192	culture_number
str7176	KCTC 2780	culture_number
str7176	LMG 14	culture_number
str7176	LMG 153	culture_number
str7176	LMG 171	culture_number
str7176	NBRC 13259	culture_number
str7176	NCPPB 2409	culture_number
str7176	NCPPB 4	culture_number
str7176	NCPPB 5	culture_number
str7176	VKM B-1219	culture_number
str7177	BCRC 13814	culture_number
str7177	CCRC 13814	culture_number
str7177	CECT 4067	culture_number
str7177	NRRL B-11291	culture_number
str7179	ATCC 15955	culture_number
str7179	CECT 472	culture_number
str7179	CIP 104336	culture_number
str7179	LMG 235	culture_number
str718	ATCC 27009	culture_number
str718	BCRC 14685	culture_number
str718	CCRC 14685	culture_number
str718	CCT 2490	culture_number
str718	CCUG 28521	culture_number
str718	CECT 4328	culture_number
str718	CIP 106131	culture_number
str718	DSM 446	culture_number
str718	HAMBI 2071	culture_number
str718	HAMBI 2073	culture_number
str718	IFO 15652	culture_number
str718	IMET 11356	culture_number
str718	JCM 5260	culture_number
str718	KCTC 1825	culture_number
str718	LMD 89.167	culture_number
str718	LMG 7119	culture_number
str718	NBRC 15652	culture_number
str718	NCCB 89167	culture_number
str718	NCIB 11725	culture_number
str718	NCIMB 11725	culture_number
str718	NRRL B-14509	culture_number
str7181	ATCC 4718	culture_number
str7181	CECT 4360	culture_number
str7181	CFBP 5764	culture_number
str7181	CIP 104326	culture_number
str7181	IAM 1526	culture_number
str7181	IFO 12664	culture_number
str7181	JCM 20199	culture_number
str7181	LMG 139	culture_number
str7181	NBRC 12664	culture_number
str7181	NCAIM B.01302	culture_number
str7186	IAM 1015	culture_number
str7186	JCM 20010	culture_number
str7187	ATCC 9036	culture_number
str7187	CIP 68.41	culture_number
str7187	IAM 1517	culture_number
str7187	JCM 20194	culture_number
str7187	LMD 80.1	culture_number
str7187	LMG 983	culture_number
str7187	NBRC 102197	culture_number
str7187	NCCB 80001	culture_number
str7187	NCDO 715	culture_number
str7187	NCIB 8154	culture_number
str7187	NCIM 2446	culture_number
str7187	NCIMB 8154	culture_number
str7189	ATCC 27899	culture_number
str7189	ATCC 29142	culture_number
str7189	CCAP 1403/2A	culture_number
str7189	CCAP 1403/2B	culture_number
str7189	PCC 7122	culture_number
str7189	PCC 73105	culture_number
str7189	SAG 1403-2	culture_number
str7189	UTEX 1609	culture_number
str7189	UTEX 1611	culture_number
str7189	UTEX 629	culture_number
str7191	CBS 293.54	culture_number
str7197	CCUG 45454	culture_number
str7197	CIP 106861	culture_number
str7197	DSM 15913	culture_number
str7197	JCM 13508	culture_number
str7197	KCTC 12957	culture_number
str7197	LMG 19693	culture_number
str7197	NCIMB 13883	culture_number
str720	ATCC BAA-609	culture_number
str720	DSM 17614	culture_number
str720	JCM 11817	culture_number
str720	KCTC 3843	culture_number
str720	NBRC 100866	culture_number
str7201	ATCC 19584	culture_number
str7201	BCRC 14858	culture_number
str7201	CCRC 14858	culture_number
str7201	CDBB 20	culture_number
str7201	CECT 908	culture_number
str7201	CIP 82.105	culture_number
str7201	DSM 7307	culture_number
str7201	IAM 14871	culture_number
str7201	JCM 11566	culture_number
str7201	KCTC 3388	culture_number
str7201	LMG 16473	culture_number
str7201	LMG 17310	culture_number
str7201	NCDO 2326	culture_number
str7201	NCFB 2326	culture_number
str7201	NCIMB 9729	culture_number
str7201	NRRL B-1973	culture_number
str7209	ATCC 24457	culture_number
str7209	BCRC 30203	culture_number
str7209	CCRC 30203	culture_number
str721	ATCC 700601	culture_number
str7210	IAM 2004	culture_number
str7210	JCM 22218	culture_number
str7216	ATCC 16888	culture_number
str7216	BCRC 31130	culture_number
str7216	CBS 554.65	culture_number
str7216	CCRC 31130	culture_number
str7216	CDBB 176	culture_number
str7216	FRR 4969	culture_number
str7216	IAM 15058	culture_number
str7216	IFO 33023	culture_number
str7216	IHEM 3415	culture_number
str7216	IMI 050566	culture_number
str7216	JCM 10254	culture_number
str7216	JCM 1864	culture_number
str7216	NBIMCC 3252	culture_number
str7216	NBRC 33023	culture_number
str7216	NCIM 1006	culture_number
str7216	NCIM 620	culture_number
str7216	NRRL 2766	culture_number
str7216	NRRL 326	culture_number
str7216	UAMH 9310	culture_number
str7216	VKM F-3883	culture_number
str7217	ATCC 12845	culture_number
str7217	BCRC 31860	culture_number
str7217	CCRC 31860	culture_number
str7217	IMI 084304	culture_number
str7217	NRRL 372	culture_number
str7217	NRRL 619	culture_number
str7220	ATCC 28325	culture_number
str7227	ATCC 11362	culture_number
str7227	ATCC 16881	culture_number
str7227	BCRC 32188	culture_number
str7227	CBS 136.52	culture_number
str7227	CBS 552.65	culture_number
str7227	CCRC 32188	culture_number
str7227	CGMCC 3.4335	culture_number
str7227	IMI 211395	culture_number
str7227	MUCL 45159	culture_number
str7229	ATCC 10690	culture_number
str7229	BCRC 32877	culture_number
str7229	CBS 377.64	culture_number
str7229	CCRC 32877	culture_number
str7229	CCT 1212	culture_number
str7229	CCT 3090	culture_number
str7229	CCUG 28184	culture_number
str7229	CECT 2663	culture_number
str7229	CECT 2808	culture_number
str7229	DBVPG 8915	culture_number
str7229	DSM 1958	culture_number
str7229	FRR 4480	culture_number
str7229	IAM 3004	culture_number
str7229	IFO 6346	culture_number
str7229	IMI 321320	culture_number
str7229	IMI 4543	culture_number
str7229	IMI 45543	culture_number
str7229	JCM 22435	culture_number
str7229	KCTC 6178	culture_number
str7229	MUCL 31597	culture_number
str7229	MUCL 38641	culture_number
str7229	MUM 9409	culture_number
str7229	NBRC 6346	culture_number
str7229	NRRL 571	culture_number
str723	ATCC BAA-284	culture_number
str723	CCUG 30811	culture_number
str723	CIP 106648	culture_number
str723	DSM 16032	culture_number
str723	KCTC 22178	culture_number
str723	LMG 26134	culture_number
str7231	ATCC 10020	culture_number
str7231	ATCC 20589	culture_number
str7231	BCRC 31128	culture_number
str7231	CBS 116.46	culture_number
str7231	CCRC 31128	culture_number
str7231	CCT 2679	culture_number
str7231	CDBB 629	culture_number
str7231	CGMCC 3.2822	culture_number
str7231	DSM 826	culture_number
str7231	IAM 2054	culture_number
str7231	IFO 6123	culture_number
str7231	IMI 04424	culture_number
str7231	IMI 044243	culture_number
str7231	JCM 22247	culture_number
str7231	NBRC 6123	culture_number
str7231	NCIM 657	culture_number
str7231	NRRL 1960	culture_number
str7231	UAMH 7844	culture_number
str7231	VTT D-051073	culture_number
str7232	FRR 4875	culture_number
str7232	NRRL 4875	culture_number
str7234	CBS 100280	culture_number
str7235	NCIMB 13123	culture_number
str7242	CIP 76.46	culture_number
str7264	ACM 2268	culture_number
str7264	ACM 3156	culture_number
str7264	ATCC 6633	culture_number
str7264	BCRC 10447	culture_number
str7264	CCM 1999	culture_number
str7264	CCM 19999	culture_number
str7264	CCRC 10447	culture_number
str7264	CCT 0089	culture_number
str7264	CCT 1941	culture_number
str7264	CCT 2582	culture_number
str7264	CCT 2716	culture_number
str7264	CCUG 10779	culture_number
str7264	CDBB 555	culture_number
str7264	CECT 356	culture_number
str7264	CFBP 1963	culture_number
str7264	CGMCC 1.1849	culture_number
str7264	CGMCC 1.2220	culture_number
str7264	CGMCC 1.2428	culture_number
str7264	CIP 52.62	culture_number
str7264	CIP 5262	culture_number
str7264	CNCTC 5610	culture_number
str7264	DSM 347	culture_number
str7264	IAM 1069	culture_number
str7264	ICMP 3282	culture_number
str7264	IFO 13720	culture_number
str7264	IFO 3134	culture_number
str7264	IFO 3513	culture_number
str7264	IMET 10880	culture_number
str7264	JCM 20035	culture_number
str7264	JCM 2499	culture_number
str7264	KCTC 1021	culture_number
str7264	KCTC 1914	culture_number
str7264	KCTC 2023	culture_number
str7264	KCTC 2189	culture_number
str7264	LMD 47.15	culture_number
str7264	LMD 89.157	culture_number
str7264	LMG 8197	culture_number
str7264	NBIMCC 1709	culture_number
str7264	NBRC 3134	culture_number
str7264	NBRC 3513	culture_number
str7264	NCAIM B.01268	culture_number
str7264	NCAIM B.01644	culture_number
str7264	NCCB 47015	culture_number
str7264	NCCB 89157	culture_number
str7264	NCDO 1733	culture_number
str7264	NCFB 1733	culture_number
str7264	NCIB 8054	culture_number
str7264	NCIB 8566	culture_number
str7264	NCIM 2063	culture_number
str7264	NCIM 2266	culture_number
str7264	NCIM 2329	culture_number
str7264	NCIMB 8054	culture_number
str7264	NCIMB 8566	culture_number
str7264	NCTC 10400	culture_number
str7264	NCTC 6752	culture_number
str7264	NRRL B-209	culture_number
str7264	NRRL B-354	culture_number
str7264	NRRL B-4378	culture_number
str7264	NRRL B-765	culture_number
str7264	NRRL NRS-231	culture_number
str7264	VKM B-434	culture_number
str7264	VKM B-720	culture_number
str7264	VKM B-912	culture_number
str7264	VKM B-916	culture_number
str7264	VTT E-85231	culture_number
str7272	AS 1.2212	culture_number
str7272	ATCC 29521	culture_number
str7272	BCRC 11845	culture_number
str7272	BCRC 14615	culture_number
str7272	CCRC 11845	culture_number
str7272	CCRC 14615	culture_number
str7272	CCUG 18364	culture_number
str7272	CCUG 45217	culture_number
str7272	CECT 870	culture_number
str7272	CGMCC 1.2212	culture_number
str7272	CIP 56.7	culture_number
str7272	DSM 20456	culture_number
str7272	HAMBI 1380	culture_number
str7272	IFO 14252	culture_number
str7272	JCM 1255	culture_number
str7272	KCTC 3202	culture_number
str7272	KCTC 3281	culture_number
str7272	LMG 10496	culture_number
str7272	LMG 11041	culture_number
str7272	LMG 13199	culture_number
str7272	LMG 13210	culture_number
str7272	LMG 8810	culture_number
str7272	NBRC 100015	culture_number
str7272	NBRC 14252	culture_number
str7272	NCAIM B.02021	culture_number
str7272	NCDO 2715	culture_number
str7272	NCFB 2715	culture_number
str7272	NCIMB 702715	culture_number
str7272	NCTC 13001	culture_number
str7272	NRRL B-41410	culture_number
str7272	VTT E-97795	culture_number
str7274	ATCC 15696	culture_number
str7274	BCRC 14614	culture_number
str7274	CCRC 14614	culture_number
str7274	CCUG 17358	culture_number
str7274	CCUG 45219	culture_number
str7274	CGMCC 1.5043	culture_number
str7274	CIP 64.65	culture_number
str7274	JCM 7004	culture_number
str7274	KCTC 3418	culture_number
str7274	LMG 10644	culture_number
str7274	LMG 13195	culture_number
str7274	LMG 13209	culture_number
str7274	NCDO 2203	culture_number
str7274	NCFB 2203	culture_number
str7274	NCIMB 702203	culture_number
str7275	AS 1.2213	culture_number
str7275	ATCC 15700	culture_number
str7275	BCRC 11846	culture_number
str7275	CCRC 11846	culture_number
str7275	CCUG 18365	culture_number
str7275	CCUG 30511	culture_number
str7275	CECT 4839	culture_number
str7275	CGMCC 1.2213	culture_number
str7275	CIP 64.69	culture_number
str7275	DSM 20213	culture_number
str7275	HAMBI 558	culture_number
str7275	JCM 1192	culture_number
str7275	KCTC 3220	culture_number
str7275	LMG 10501	culture_number
str7275	LMG 11042	culture_number
str7275	LMG 13208	culture_number
str7275	NCAIM B.01820	culture_number
str7275	NCDO 2257	culture_number
str7275	NCFB 2257	culture_number
str7275	NCIMB 702257	culture_number
str7275	NCTC 11815	culture_number
str7275	NRRL B-41408	culture_number
str7275	VTT E-981075	culture_number
str7276	ATCC 15708	culture_number
str7276	BCRC 14634	culture_number
str7276	CCRC 14634	culture_number
str7276	CIP 64.63	culture_number
str7276	JCM 7054	culture_number
str7276	KCTC 3421	culture_number
str7276	LMG 10498	culture_number
str7276	LMG 13196	culture_number
str7287	ATCC 24193	culture_number
str7287	CBS 5109	culture_number
str7287	DBVPG 6620	culture_number
str7287	DSM 70871	culture_number
str7287	IFO 10594	culture_number
str7287	JCM 5356	culture_number
str7287	KCTC 7534	culture_number
str7287	MUCL 27849	culture_number
str7287	NBRC 10594	culture_number
str7287	NCYC 900	culture_number
str7287	NRRL Y-5852	culture_number
str7289	ATCC 56897	culture_number
str7289	BCRC 22519	culture_number
str7289	CBS 5777	culture_number
str7289	CCRC 22519	culture_number
str7289	CDBB 519	culture_number
str7289	CECT 11153	culture_number
str7289	IAM 12874	culture_number
str7289	IFO 10035	culture_number
str7289	JCM 22055	culture_number
str7289	NBRC 10035	culture_number
str7290	ATCC 56897	culture_number
str7290	BCRC 22519	culture_number
str7290	CBS 5777	culture_number
str7290	CCRC 22519	culture_number
str7290	CDBB 519	culture_number
str7290	CECT 11153	culture_number
str7290	IAM 12874	culture_number
str7290	IFO 10035	culture_number
str7290	JCM 22055	culture_number
str7290	NBRC 10035	culture_number
str7291	CBS 8109	culture_number
str7291	JCM 2465	culture_number
str7291	NCYC 2530	culture_number
str7292	BCRC 22450	culture_number
str7292	CBS 6853	culture_number
str7292	CCRC 22450	culture_number
str7292	IAM 12877	culture_number
str7292	IFO 10294	culture_number
str7292	IFO 10403	culture_number
str7292	JCM 22058	culture_number
str7292	NBRC 10294	culture_number
str7292	NBRC 10403	culture_number
str7293	ATCC 18822	culture_number
str7293	BCRC 21746	culture_number
str7293	CBS 5839	culture_number
str7293	CCRC 21746	culture_number
str7293	DBVPG 6212	culture_number
str7293	IFO 10184	culture_number
str7293	JCM 1698	culture_number
str7293	KCTC 7658	culture_number
str7293	NBRC 10184	culture_number
str7293	NCAIM Y.01498	culture_number
str7293	NRRL Y-7136	culture_number
str7293	VKM Y-2007	culture_number
str7294	ATCC 46535	culture_number
str7294	CBS 6947	culture_number
str7295	AS 2.1975	culture_number
str7295	ATCC 4563	culture_number
str7295	ATCC 7349	culture_number
str7295	ATCC 750	culture_number
str7295	BCC 5433	culture_number
str7295	BCRC 20520	culture_number
str7295	CBS 616	culture_number
str7295	CBS 94	culture_number
str7295	CCRC 20520	culture_number
str7295	CCUG 34274	culture_number
str7295	CECT 11901	culture_number
str7295	CECT 1440	culture_number
str7295	CGMCC 2.1975	culture_number
str7295	CLIB 315	culture_number
str7295	DBVPG 3982	culture_number
str7295	DSM 11953	culture_number
str7295	IAM 14385	culture_number
str7295	IFO 1070	culture_number
str7295	IFO 12651	culture_number
str7295	IFO 1400	culture_number
str7295	IHEM 10285	culture_number
str7295	JCM 1541	culture_number
str7295	JCM 2073	culture_number
str7295	KCTC 7212	culture_number
str7295	MUCL 29893	culture_number
str7295	NBRC 1070	culture_number
str7295	NBRC 1400	culture_number
str7295	NCAIM Y.01013	culture_number
str7295	NCIM 3118	culture_number
str7295	NRRL Y-12699	culture_number
str7295	NRRL Y-12968	culture_number
str7295	NRRL Y-607	culture_number
str7295	UAMH 10467	culture_number
str7301	CCAP 11/32A	culture_number
str7301	NIES 2236	culture_number
str7301	SAG 11-32B	culture_number
str7301	UTEX 90	culture_number
str7305	ACM 2197	culture_number
str7305	ACM 2458	culture_number
str7305	ATCC 13316	culture_number
str7305	ATCC 8090	culture_number
str7305	BCRC 12291	culture_number
str7305	CCRC 10637	culture_number
str7305	CCRC 12291	culture_number
str7305	CCT 0522	culture_number
str7305	CCT 1355	culture_number
str7305	CCT 1442	culture_number
str7305	CCUG 418	culture_number
str7305	CDBB 955	culture_number
str7305	CECT 401	culture_number
str7305	CFBP 6647	culture_number
str7305	CIP 57.32	culture_number
str7305	DSM 30039	culture_number
str7305	HAMBI 1695	culture_number
str7305	IAM 12471	culture_number
str7305	ICMP 15657	culture_number
str7305	ICMP 7610	culture_number
str7305	IFO 12681	culture_number
str7305	JCM 1657	culture_number
str7305	KCTC 2509	culture_number
str7305	LMD 92.11	culture_number
str7305	LMG 3246	culture_number
str7305	LMG 3247	culture_number
str7305	NBIMCC 3731	culture_number
str7305	NBRC 12681	culture_number
str7305	NCAIM B.01468	culture_number
str7305	NCCB 92011	culture_number
str7305	NCIB 11490	culture_number
str7305	NCIMB 11490	culture_number
str7305	NCTC 9750	culture_number
str7305	NRRL B-2643	culture_number
str7305	VTT E-97778	culture_number
str7307	ATCC 27156	culture_number
str7307	BCRC 14803	culture_number
str7307	CCRC 14803	culture_number
str7307	CCUG 14559	culture_number
str7307	CCUG 14799	culture_number
str7307	CCUG 5115	culture_number
str7307	CDBB 957	culture_number
str7307	CECT 856	culture_number
str7307	CIP 82.94	culture_number
str7307	CNCTC 5081	culture_number
str7307	DSM 4570	culture_number
str7307	JCM 1659	culture_number
str7307	LMD 92.9	culture_number
str7307	LMG 5741	culture_number
str7307	NCCB 92009	culture_number
str7307	NCTC 10849	culture_number
str7308	ATCC 27028	culture_number
str7308	BCRC 14804	culture_number
str7308	CCM 2537	culture_number
str7308	CCRC 14804	culture_number
str7308	CCUG 4859	culture_number
str7308	CDBB 956	culture_number
str7308	CIP 105014	culture_number
str7308	CIP 82.87	culture_number
str7308	CNCTC 7392	culture_number
str7308	DSM 4595	culture_number
str7308	JCM 1658	culture_number
str7308	LMD 92.8	culture_number
str7308	LMG 5519	culture_number
str7308	NCCB 92008	culture_number
str7308	NCTC 10786	culture_number
str7308	VTT E-991040	culture_number
str7312	NRRL B-643	culture_number
str7314	LMG 12122	culture_number
str7315	ATCC 16398	culture_number
